,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,Frequency,Reference Area,Indicator,Counterpart Reference Area
53,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2017-06,2017-06-01,21.090476,21.090476,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
54,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2017-07,2017-07-01,6.420511,6.420511,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
55,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2017-08,2017-08-01,9.951808,9.951808,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
56,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2017-09,2017-09-01,8.799937,8.799937,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
57,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2017-10,2017-10-01,3.513158,3.513158,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
58,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2017-11,2017-11-01,0.271213,0.271213,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
59,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2017-12,2017-12-01,0.905598,0.905598,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
60,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2018-01,2018-01-01,0.22334,0.22334,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
61,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2018-02,2018-02-01,0.122187,0.122187,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
62,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2018-03,2018-03-01,1.00841,1.00841,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
63,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2018-04,2018-04-01,0.365224,0.365224,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
64,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2018-05,2018-05-01,1.101815,1.101815,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
65,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2018-06,2018-06-01,0.376671,0.376671,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
66,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2018-07,2018-07-01,0.203458,0.203458,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
67,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.U2,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Euro Area (Member States and Institutions of the Euro Area) changing composition, Millions",2018-08,2018-08-01,0.369361,0.369361,M,SX,TXG_FOB_USD,U2,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Euro Area (Member States and Institutions of the Euro Area) changing composition
